,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Gusau,0,NG,1548615572,30,12.17,6.66,78.27079999999995,2.12
1,Ushuaia,75,AR,1548612000,38,-54.81,-68.31,60.80000000000001,11.3
2,Paamiut,80,GL,1548615576,100,61.99,-49.67,26.025800000000004,11.62
3,Mvuma,36,ZW,1548615581,69,-19.28,30.53,69.67580000000004,5.67
4,Ribeira Grande,75,PT,1548612000,77,38.52,-28.7,60.80000000000001,4.1
5,Albany,90,US,1548615120,75,42.65,-73.75,37.039999999999964,3.6
6,Janauba,80,BR,1548615587,100,-1.63,-45.47,78.63079999999997,2.12
7,New Norfolk,20,AU,1548613800,54,-42.78,147.06,58.99999999999994,4.6
8,Tuktoyaktuk,90,CA,1548612000,75,69.44,-133.03,-14.800000000000011,9.3
9,Poum,0,MK,1548615594,80,41.28,20.71,21.480799999999988,0.82
10,Yellowknife,75,CA,1548612000,76,62.45,-114.38,-5.800000000000011,7.2
11,Alofi,0,NU,1548612000,74,-19.06,-169.92,78.80000000000001,3.6
12,Castro,90,CL,1548612000,55,-42.48,-73.76,60.80000000000001,3.1
13,Lagoa,0,PT,1548612000,54,37.14,-8.45,57.19999999999999,4.6
14,Bluff,36,AU,1548615613,82,-23.58,149.07,72.60079999999999,4.07
15,Punta Arenas,75,CL,1548612000,76,-53.16,-70.91,49.99999999999994,8.7
16,Dunedin,92,NZ,1548615618,98,-45.87,170.5,59.505799999999965,1.32
17,Upernavik,48,GL,1548615621,92,72.79,-56.15,16.170799999999986,5.37
18,Baghdad,90,IQ,1548612000,100,33.3,44.38,62.599999999999966,5.1
19,Tiksi,56,RU,1548615625,43,71.64,128.87,-27.6592,0.97
20,Chokurdakh,48,RU,1548615628,0,70.62,147.9,-37.10919999999999,1.32
21,Luau,12,CD,1548615634,91,-10.7,22.23,69.40579999999994,1.17
22,Vaini,0,IN,1548615637,94,15.34,74.49,61.30579999999992,2.57
23,Hamilton,90,BM,1548614340,93,32.3,-64.78,66.19999999999999,1.0
24,Flin Flon,90,CA,1548612000,70,54.77,-101.88,-5.800000000000011,1.0
25,Rikitea,36,PF,1548615643,100,-23.12,-134.97,78.90080000000006,5.02
26,Kavieng,92,PG,1548615645,100,-2.57,150.8,83.35579999999999,4.27
27,Necochea,20,AR,1548615372,88,-38.55,-58.74,82.0958,3.22
28,Avarua,75,CK,1548612000,83,-21.21,-159.78,82.39999999999992,7.7
29,Bandar-e Anzali,40,IR,1548612000,93,37.47,49.46,49.99999999999994,4.1
30,Esperance,75,TT,1548612000,58,10.24,-61.45,84.19999999999999,5.7
31,Babynino,90,RU,1548613800,92,54.39,35.75,12.199999999999932,2.0
32,Palmerston North,100,NZ,1548615521,96,-40.35,175.62,65.58080000000001,4.92
33,Grindavik,90,IS,1548613800,100,63.84,-22.43,30.199999999999932,5.1
34,Kloulklubed,90,PW,1548611400,94,7.04,134.26,76.99999999999994,3.6
35,Dikson,32,RU,1548615665,82,73.51,80.55,-8.489199999999983,9.32
36,Cherskiy,76,RU,1548615667,39,68.75,161.3,-25.724200000000053,2.52
37,Palamos,20,ES,1548613800,81,41.85,3.13,44.599999999999966,3.6
38,Hofn,44,IS,1548615672,100,64.25,-15.21,24.675800000000038,0.62
39,Constitucion,5,MX,1548611100,21,23.99,-104.67,51.799999999999955,4.1
40,Lata,0,IN,1548615678,78,30.78,78.62,22.02080000000001,1.17
41,Daguit,64,PH,1548615681,100,14.19,122.73,77.4608,10.27
42,Severo-Yeniseyskiy,56,RU,1548615683,49,60.37,93.04,-3.6292000000000257,3.12
43,Nanortalik,76,GL,1548615685,100,60.14,-45.24,26.430799999999977,17.02
44,Saint-Georges,80,CA,1548615650,61,46.12,-70.67,23.910799999999995,5.67
45,Katsuura,40,JP,1548612000,100,33.93,134.5,31.999999999999943,4.1
46,Talnakh,44,RU,1548615692,39,69.49,88.39,-26.129200000000026,1.52
47,Ancud,90,CL,1548612000,55,-41.87,-73.83,60.80000000000001,3.1
48,Jamestown,0,AU,1548615512,84,-33.21,138.6,49.60579999999999,1.62
49,Lorengau,92,PG,1548615701,99,-2.02,147.27,82.95080000000002,5.02
50,Berlevag,40,NO,1548611400,84,70.86,29.09,8.599999999999966,2.6
51,Skjervoy,0,NO,1548611400,54,70.03,20.97,4.999999999999943,13.4
52,Guerrero Negro,0,MX,1548615708,38,27.97,-114.04,66.97579999999999,1.62
53,Azovo,0,RU,1548613800,82,54.7,73.03,-16.600000000000023,2.0
54,Biograd na Moru,20,HR,1548613800,76,43.94,15.45,48.19999999999993,5.1
55,Broken Hill,100,AU,1548612000,82,-31.97,141.45,62.599999999999966,4.1
56,Srednekolymsk,76,RU,1548615717,47,67.46,153.71,-29.099200000000053,1.42
57,Riyadh,5,SA,1548612000,20,24.63,46.72,73.39999999999992,4.6
58,Butaritari,48,KI,1548615722,100,3.07,172.79,82.90579999999994,4.67
59,Klaksvik,40,FO,1548613200,100,62.23,-6.59,31.999999999999943,4.1
60,Georgetown,75,GY,1548612000,94,6.8,-58.16,84.19999999999999,6.2
61,Tasiilaq,56,GL,1548611400,92,65.61,-37.64,24.799999999999955,14.9
62,Shieli,0,KZ,1548615731,85,44.18,66.74,24.180799999999977,5.22
63,Hun,75,BE,1548615000,97,50.34,4.87,37.39999999999998,5.1
64,Quang Ngai,100,VN,1548615736,96,15.12,108.8,62.20580000000001,0.97
65,Lavrentiya,92,RU,1548615738,95,65.58,-170.99,32.460800000000006,7.17
66,Kaitangata,92,NZ,1548615740,94,-46.28,169.85,64.0958,4.57
67,Hobart,20,AU,1548613800,54,-42.88,147.33,58.99999999999994,4.6
68,Kabare,8,RW,1548615745,79,-1.65,29.38,65.35579999999999,1.47
69,Atuona,88,PF,1548615747,100,-9.8,-139.03,75.79580000000004,8.02
70,Mahebourg,40,MU,1548612000,94,-20.41,57.7,76.99999999999994,3.6
71,Danshui,0,CN,1548612000,67,22.81,114.46,60.80000000000001,2.0
72,Barrow,48,AR,1548615754,68,-38.31,-60.23,85.92080000000004,3.42
73,Capreol,20,CA,1548612000,52,46.71,-80.92,-11.199999999999989,5.7
74,Olga,1,US,1548615180,22,34.11,-118.17,71.59999999999997,1.27
75,Mataura,92,NZ,1548615761,91,-46.19,168.86,64.68079999999992,5.12
76,Hasaki,75,JP,1548613800,85,35.73,140.83,24.799999999999955,0.5
77,Sobolevo,56,RU,1548615765,80,54.43,31.9,9.825800000000015,3.72
78,Mar del Plata,20,AR,1548615767,34,-46.43,-67.52,74.17580000000004,10.22
79,Vostok,80,RU,1548615770,65,46.45,135.83,1.6807999999999765,0.97
80,Zemio,88,CF,1548615772,52,5.02,25.13,89.25080000000008,1.02
81,Junin,40,PE,1548612000,56,-16.45,-71.58,67.99999999999994,6.2
82,Hit,92,IQ,1548615778,87,33.64,42.83,59.14579999999995,5.62
83,Mount Isa,75,AU,1548613800,42,-20.73,139.49,85.99999999999994,5.1
84,Huarmey,20,PE,1548615783,50,-10.07,-78.15,82.05080000000004,1.77
85,Hithadhoo,64,MV,1548615785,100,-0.6,73.08,82.86079999999998,3.67
86,Kutum,12,SD,1548615787,26,14.2,24.66,73.68079999999992,4.02
87,Victoria,90,BN,1548613800,94,5.28,115.24,76.99999999999994,1.0
88,Longyearbyen,40,NO,1548611400,58,78.22,15.63,24.799999999999955,7.7
89,Roald,0,NO,1548613200,63,62.58,6.12,28.399999999999977,6.2
90,Mitsamiouli,75,KM,1548612000,88,-11.38,43.28,75.19999999999999,2.1
91,Bonthe,0,SL,1548615798,43,7.53,-12.5,91.0958,2.37
92,Khatanga,24,RU,1548615800,48,71.98,102.47,-29.639200000000017,2.42
93,Kapaa,40,US,1548611760,63,22.08,-159.32,67.99999999999994,4.6
94,Anadyr,0,RU,1548612000,76,64.73,177.51,-7.600000000000023,10.0
95,Saint George,20,GR,1548615000,93,39.45,22.34,40.99999999999994,1.57
96,Safakulevo,20,RU,1548615809,61,54.99,62.54,-12.899200000000008,3.67
97,Bilma,20,NE,1548615812,18,18.69,12.92,60.27079999999995,4.17
98,Bastia,20,IT,1548615000,100,44.6,8.98,42.799999999999955,4.6
99,Saskylakh,36,RU,1548615816,0,71.97,114.09,-30.67420000000004,2.22
100,Harindanga,75,IN,1548613800,77,22.04,88.32,67.99999999999994,3.07
101,Cap Malheureux,40,MU,1548612000,94,-19.98,57.61,76.99999999999994,3.6
102,Grand Gaube,40,MU,1548612000,94,-20.01,57.66,76.99999999999994,3.6
103,Fort Nelson,20,CA,1548612000,79,58.81,-122.69,26.599999999999966,1.5
